objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location
0865,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0866,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0867,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0868,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0869,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0870,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0871,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0872,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo.  La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse!ENGLISH DESCRIPTIONA 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching.  There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself.   The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself!  Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0873,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo.  La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse!ENGLISH DESCRIPTIONA 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching.  There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself.   The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself!  Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0874,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
0875,La primera regla del punk / The First Rule of Punk,"Pérez, Celia C. (autor); PRH Grupo Editorial (editorial)",2019-07-09,"Un libro de honor del premio Pura Belpré, 2018 La primera regla del punk es una conmovedora exploracion de la amistad, la busqueda de uno mismo, y el aprender a ""rockear"" como si nadie te esta mirando. No hay atajos para navegar el primer día de clases en una nueva escuela – no se arregla con cinta gafer como lo harías con tu par de tenis Chuck Taylor. La adolecente Malú, (María Luisa, si quieres irritarla), logra molestar a la chica mandamás de Posada Middle School, romper el código de vestimenta con su vestido punk rock, y decepcionar a su madre, quien es profesora universitaria. Y todo esto en su primer día de escuela intermedia. Su padre, quien ahora vive a miles de millas de distancia, le dice que las cosas mejorarán siempre y cuando nunca olvide la primera regla del punk: ser tú mismo. La auténtica Malú ama el rock and roll, las patinetas, las revistas de manualidades y el Soyrizo (sin cilantro, por favor). Cuando empieza a encontrar otros estudiantes inadaptados con intereses parecidos, y forma su propio grupo musical, Malú empieza a sentirse feliz. Para resguardar esa nueva felicidad, ella haría cualquier cosa, incluyendo el enfrentarse con los administradores “anti-punk” de su escuela, ¡y luchar por su derecho a expresarse! ENGLISH DESCRIPTION A 2018 Pura Belpré Author Honor Book The First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself. The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie. ""Armed with a microphone and a pair of scissors, this book is all about creating something new and awesome in the world. Malú rocks!"" --Victoria Jamieson, author and illustrator of the New York Times bestselling and Newbery Honor-winning Roller Girl",Juvenile Fiction; People & Places; United States; Hispanic & Latino; Juvenile Fiction; Performing Arts; Music; Juvenile Fiction; Social Themes; Friendship,,,,,9780525567165,Text,application/pdf,Español,,,record,
